Template,Example
(RELATED TO NICHE) are dead,Agencies & SMMA’s are dead
The dark secret behind (RELATED TO NICHE),The dark secret behind marketing firms
Steal my secret strategy on (DESIRED RESULT),Steal my strategy on how I lost 30 pounds
How I went from (PAST SITUATION) to (DESIRED RESULT) in just (TIME) years,"How I went from $500 to 500 million in just five years. "
The (NUMBER) secrets to (DESIRED RESULT),"The two secrets to uploading the highest quality Instagram reels. "
"Here’s how I (DESIRED RESULT), (AGAINST COMMON BELEIF)","Here's how I started my own business, while being broke"
Here’s (NUMBER) underestimated (HACK/TIP/TRICK) to (DESIRED RESULT),Here’s 3 underestimated hacks to lose weight fast
This is why your (ACTION) isn’t working,This is why your TikTok strategy isn’t working
This one mistake could be costing you (NUMBER),"This one mistake could be costing you a million dollars, "
Exposing my secret to (DESIRED RESULT),Exposing my secret to recording a months worth of content in 1 day
How to get (DESIRED RESULT) in (TIME),How to get 100k followers in 2 Months
Here are 3 quick ways to get (DESIRED RESULT),Here are 3 quick ways to get more subscribers on YouTube.
(NUMBER) things that feel illegal to know,3 Websites that feel illegal to know
(NUMBER) things about (NICHE) I wish I knew earlier,3 things about dropshipping I wish i knew earlier
This will change the way you use (RELATED TO NICHE),This will change the way you use TikTok
Why 99% of (TARGET AUDIENCE) won’t (RELATED TO NICHE),"Why 99% of marketers won’t make content consistently "
"Everything you knew about (SUBJECT) is WRONG! ","Everything you knew about the Titanic is wrong! "
Stop doing (RELATED TO NICHE) if you want to do (DESIRED RESULT),Stop doing cold outreach if you want to scale past $5k/mo
"Struggling with (PAIN POINT OF TARGET AUDIENCE), here’s a secret tip I wish I knew earlier","Struggling with creating high-quality videos, here’s a secret tip I wish I knew earlier"
The biggest secret about (DESIRED RESULT) no one has told you,The biggest secret about starting your own business nobody has told you
This is how I achieved (DESIRED RESULT),This is how I achieved 10k followers in 30 days
"Stop scrolling, you want to see this if you want (DESIRED RESULT) ","Stop scrolling, you want to see this if you want your posts to go viral"
No one has told you this yet but (RELATED TO NICHE) are dead,No one has told you this yet but hashtags are dead
If you are struggling with (PAIN POINT OF TARGET AUDIENCE) then try this,If you are struggling with (PAIN POINT OF TARGET AUDIENCE) then try this
This simple trick helped me to (ACHIVEVE DESIRED OUTCOME) and it can help you too,This simple trick helped me to quit my 9-5 forver and it can help you too
Here are 5 signs why (PAIN POINT OF TARGET AUDIENCE),Here are 5 signs why you’re following isn’t growing
Everything you know about (RELATED TO NICHE) is 100% wrong,Everything you know about eating healthy is 100% wrong
Here’s how I achieved (DESIRED RESULT) in (TIME),Here’s how I achieved gaining 15 pounds of muscle in 90 days
This hack will save you hours if you (RELATED TO NICHE),This hack will save you hours if you create content
5 mistakes you’re probably doing if you’re not getting (DESIRE RESULT),5 mistakes you’re probably doing if you’re not getting sales through your content
"Are you tired of (PAIN POINT OF TARGET AUDIENCE), then try this","Are you tired of paying for ads and seeing little results, then try this"
You need this free tool if (DESIRED RESULT),You need this free tool if you want to increase your close percentage
Other (RELATED TO NICHE) are lying to you!,Other content creators are lying to you!
You will look at (RELATED TO NICHE) differently by the end of this video,You will look at personal trainers differently by the end of this video
Stop (ACTIVITY) if you want to (DESIRED RESULT) instead try this.,Stop doing bicep curls if you want to huge arms instead try this.
Here is a (RELATED TO NICHE) secret you need to know,Here is a marketing secret you need to know
If you are a (TARGET AUDIENCE) and you are not (ACTIVITY) then try this,If you are a weightlifter and you are not eating the proper nutrition then try this
My biggest regret as an (TARGET AUDIENCE) was not discovering this technique sooner,My biggest regret as an financial planner was not discovering this technique sooner
Why is nobody talking about this game-changing (RELATED TO NICHE) strategy,Why is nobody talking about this game-changing sales strategy
(TARGET AUDIENCE) fail to achieve (DESIRED OUTCOME) for one of 3 reasons,Youtubers fail to achieve 1000 subscribers for one of 3 reasons
All (TARGET AUDIENCE) that have achieved (DESIRED RESULT) have this one thing in common,All entrepreneurs that have achieved financial freedom have this one thing in common
Why is nobody talking about this (TOOL) to get (DESIRED RESULT),Why is nobody talking about this editing software to create high-quality content
This is the easiest tip to follow if you want (DESIRED RESULT),This is the easiest tip to follow if you want to save $1000 next month
If you can’t (PAIN POINT OF TARGET AUDIENCE) then try these [NUMBER] [TIPS/TRICKS/HACKS],If you can’t get clients for your business then try these 5 tips
Stop feeling sorry for yourself because (PAIN POINT OF TARGET AUDIENCE) instead try these (NUMBER) (TIPS/TRICKS/HACKS) to get (DESIRED RESULT),Stop feeling sorry for yourself because you’re not gaining muscle instead try these 7 hacks to get 15 pounds of muscle in 3 months
(NUMBER) useful (TOOL) every (TARGET AUDIENCE) must know about,5 useful AI tools every marketer must know about
Watch this if (PAIN POINT OF TARGET AUDIENCE),Watch this if your social media isn’t growing
